n_gen;n_evals;n_nds;cv_min;cv_avg;eps;indicator
1;20;1;0.0;0.0;0.0;f
2;40;1;0.0;0.0;0.0;f
3;60;1;0.0;0.0;0.0;f
4;80;1;0.0;0.0;1018.3456694912165;ideal
5;100;1;0.0;0.0;0.0;f
6;120;3;0.0;0.0;0.0;f
7;140;8;0.0;0.0;0.0;f
8;160;1;0.0;0.0;309277.62911371514;ideal
9;180;1;0.0;0.0;0.0;f
10;200;1;0.0;0.0;90574.47532768548;ideal
11;220;2;0.0;0.0;0.0;f
12;240;1;0.0;0.0;14393.427614349872;ideal
13;260;3;0.0;0.0;0.0;f
14;280;6;0.0;0.0;0.0;f
15;300;17;0.0;0.0;0.0;f
16;320;20;0.0;0.0;0.0;f
17;340;1;0.0;0.0;27887.279450643808;ideal
18;360;2;0.0;0.0;0.0;f
19;380;5;0.0;0.0;0.0;f
20;400;1;0.0;0.0;28044.944391367957;ideal
21;420;2;0.0;0.0;0.0;f
22;440;6;0.0;0.0;0.0;f
23;460;14;0.0;0.0;0.0;f
24;480;1;0.0;0.0;152.9579428229481;ideal
25;500;3;0.0;0.0;0.0;f
26;520;6;0.0;0.0;0.0;f
27;540;14;0.0;0.0;0.0;f
28;560;20;0.0;0.0;0.0;f
29;580;20;0.0;0.0;0.0;f
30;600;20;0.0;0.0;0.0;f
