;Np_b;Np_uc;Pth;Retorno;Peso
0;0.0;0.0;2000.0;-2000000.0;0.0
1;1.0;0.0;1750.0;-1100289.2536796196;403.20000000000005
2;2.0;0.0;2000.0;-293980.6198147143;806.4000000000001
3;2.0;1.0;650.0;-220343.0477422137;953.6000000000001
4;3.0;0.0;1750.0;367665.7937478573;1209.6000000000001
5;3.0;0.0;1975.0;367665.7937478573;1209.6000000000001
6;3.0;0.0;2000.0;367665.7937478573;1209.6000000000001
7;4.0;0.0;1750.0;865567.1091092941;1612.8000000000002
8;5.0;0.0;2000.0;1273904.8171091655;2016.0
9;7.0;0.0;2000.0;1754835.141739083;2822.4
