;Parametro variado;Preco Diesel [R$];Cotacao Dolar;Preco Razao Elepot [USD];Preco R.E. Cor. Dolar [R$];Preco Bat [USD];Preco Bat Cor. Dolar [R$];Preco UC [USD];Preco UC Cor. Dolar [R$];C-rate;Nm_b min;Nm_uc min;Nm,b;Np,b;Nm,uc;Np,uc;Volume Total [L];Energia Total Bat. [kWh];Energia Total UC. [kWh];Energia Total [kWh];Pth [kW];VPL [R$]
0;Preco Diesel;3,69;5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;28;5;12;0;1335,04;286,72;0;286,72;1150;4461322,519
1;Preco Diesel;7,46;5,3;10;53;12,8;67,84;9,75;51,675;6;15;11;27;5;13;1;1390,528;276,48;0,8112;277,2912;1400;9466060,856
2;Cotacao Dolar;5,78;4,58;10;45,8;12,8;58,624;9,75;44,655;6;15;11;28;4;21;1;1234,688;229,376;1,3104;230,6864;1375;7143157,4
3;Cotacao Dolar;5,78;6,31;10;63,1;12,8;80,768;9,75;61,5225;6;15;11;28;5;13;0;1335,04;286,72;0;286,72;1225;7399294,872
4;Preco Razao Elepot;5,78;5,3;5;26,5;12,8;67,84;9,75;51,675;6;15;11;28;4;24;1;1258,496;229,376;1,4976;230,8736;1425;7018234,275
5;Preco Razao Elepot;5,78;5,3;20;106;12,8;67,84;9,75;51,675;6;15;11;28;4;24;1;1258,496;229,376;1,4976;230,8736;1425;6859234,275
6;Preco Bat;5,78;5,3;10;53;6,4;33,92;9,75;51,675;6;15;11;28;5;14;0;1335,04;286,72;0;286,72;1625;8101665,729
7;Preco Bat;5,78;5,3;10;53;34,688;183,8464;9,75;51,675;6;15;11;27;5;15;0;1287,36;276,48;0;276,48;1550;5924488,803
8;Preco UC;5,78;5,3;10;53;12,8;67,84;5,85;31,005;6;15;11;28;5;25;0;1335,04;286,72;0;286,72;1375;7607744,207
9;Preco UC;5,78;5,3;10;53;12,8;67,84;13,65;72,345;6;15;11;28;5;13;0;1335,04;286,72;0;286,72;1550;7607744,207
10;C-rate;5,78;5,3;10;53;12,8;67,84;9,75;51,675;2;15;11;26;4;26;2;1404,416;212,992;3,2448;216,2368;1025;2601760,657
11;C-rate;5,78;5,3;10;53;12,8;67,84;9,75;51,675;10;15;11;28;3;13;0;801,024;172,032;0;172,032;1950;7798359,246
12;Nm_b min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;8;11;28;4;24;1;1258,496;229,376;1,4976;230,8736;1425;6965234,275
13;Nm_b min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;22;11;28;4;24;1;1258,496;229,376;1,4976;230,8736;1425;6965234,275
14;Nm_uc min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;15;6;28;4;24;1;1258,496;229,376;1,4976;230,8736;1425;6965234,275
15;Nm_uc min;5,78;5,3;10;53;12,8;67,84;9,75;51,675;6;15;18;28;4;24;1;1258,496;229,376;1,4976;230,8736;1425;6965234,275
