Ciclos;Saude
0;99.69
18.96;98.94
42.12;98.37
65.28;97.93
88.45;97.71
93.6;95.57
96.17;96.53
111.61;97.19
134.77;96.88
157.94;96.79
181.1;96.44
193.97;95.08
204.26;96.13
227.43;96.09
250.59;95.96
273.75;95.82
289.2;94.16
293.06;94.55
296.92;95.47
320.08;95.43
343.24;95.56
366.41;95.43
385.71;95.21
393.43;93.43
394.72;94.33
420.46;94.81
443.62;94.77
462.92;94.87
489.94;94.45
505.39;94.02
528.55;94.15
551.71;93.62
574.88;93.66
590.32;91.12
595.47;91.74
598.04;93.36
621.2;93.23
644.37;93.09
667.53;93.22
690.69;92.89
713.86;93.09
737.02;93.35
760.18;92.96
783.35;93.09
791.07;90.02
794.93;86.51
796.22;92.21
814.23;90.9
837.39;91.33
860.56;91.42
883.72;91.11
895.3;88.94
899.16;90.39
906.88;91.18
930.05;91.11
953.21;91.15
976.37;91.02
995.68;88.94
999.54;90.58
1022.7;90.84
1045.86;90.8
1067.1;90.42
1092.19;90.1
1096.05;85.91
1099.91;89.22
1115.35;90.18
1138.52;90.31
1161.68;90.31
1184.84;90.23
1196.43;87.88
1200.29;89.52
1226.02;89.65
1246.61;89.46
1279.04;89.02
1296.8;87.61
1300.66;89.26
1308.38;88.93
1331.54;89.26
1354.71;89.39
1377.87;89.21
1397.17;87.08
1401.03;88.51
1424.2;88.99
1447.36;89.03
1470.52;88.94
1493.69;88.9
1516.85;88.77
1541.94;88.85
1563.18;88.77
1586.34;88.59
1597.92;87.8
1609.5;88.77
1640.39;88.85
1663.55;88.81
1686.71;88.59
1694.44;87.8
1694.44;86.96
1717.6;88.28
1740.76;88.32
1763.93;88.32
1787.09;88.1
1794.81;87.14
1810.25;88.06
1833.42;87.97
1856.58;88.01
1879.74;87.97
1899.04;86.28
1902.91;87.62
1926.07;87.75
1949.23;87.88
1956.95;87.39
1978.19;87.99
1995.56;86.3
2018.72;87.13
2041.89;87.26
2065.05;87.26
2088.21;87.39
2095.93;85.68
2119.1;87.13
2142.26;87.13
2165.42;87.12
2188.59;86.99
2191.16;85.77
2196.31;85.15
2211.75;86.95
2234.91;87.12
2258.08;86.95
2281.24;86.86
2299.26;86.02
2304.4;86.86
2319.84;86.2
2327.57;86.59
2345.58;83.39
2346.87;86
2348.16;84.75
2350.73;86.9
2373.89;87.07
2397.06;85.54
2400.92;84.75
2420.22;86.55
2443.38;86.63
2466.55;86.63
2489.71;86.46
2499.36;85.6
2493.57;84.81
2520.59;86.1
2543.76;86.37
2566.92;86.32
2590.08;86.23
2597.8;84.57
2620.97;85.93
2644.13;86.06
2667.29;85.97
2675.02;84.39
2690.46;86.06
2713.62;86.05
2736.78;86.05
2761.88;86.02
2777.96;81.54
2779.25;79.21
2783.11;80.13
2806.27;85.57
2829.44;85.88
2852.6;85.83
2871.9;85.92
2883.48;79.01
2887.35;80.13
2891.21;85.16
2914.37;85.43
2937.53;85.43
2960.7;85.52
2982.31;84.34
2983.86;85.56
3007.02;85.56
3030.19;85.69
3053.35;85.65
3061.07;82.49
3076.51;85.47
3084.23;84.46
3095.81;82.69
3099.68;84.33
3101.61;83.67
3122.84;85.34
3142.14;85.58
3169.17;85.51
3184.61;84.4
3201.59;85.01
3223.21;85.12
3246.38;85.12
3269.54;84.98
3288.84;84.13
3292.7;85.07
3315.87;85.2
3339.03;85.03
3362.19;84.98
3385.36;84.98
3387.93;76.7
3389.22;77.81
3393.08;80.03
3395.01;83.93
3408.52;84.89
3420.1;84.19
3431.68;84.98
3454.85;84.76
3478.01;84.67
3485.73;81.82
3487.66;82.74
3496.02;83.79
3501.17;84.19
3524.34;84.1
3547.5;84.32
3570.66;84.14
3593.83;83.97
3589.96;82.28
3616.99;84.14
3640.15;84.18
3663.32;84.23
3686.48;84.05
3694.2;83.16
3717.36;83.92
3740.53;83.78
3763.69;84.18
3786.85;84.05
3792;82.91
3808.09;83.95
3833.18;84.18
3856.34;84.22
3879.51;84.39
3902.67;83.52
3925.83;83.91
3949;83.91
3974.09;83.84
3991.46;82.92
3995.32;83.64
4018.49;84.13
4041.65;84.08
4064.81;84.12
4087.98;84.04
4095.7;82.41
4097.63;83.31
4115;82.98
4118.86;83.77
4142.02;83.77
4165.19;83.86
4188.35;83.99
4192.21;81.99
4211.51;83.59
4234.68;83.86
4257.84;83.97
4281;83.85
4292.58;83.11
4304.17;83.85
4327.33;83.98
4350.49;83.94
4373.66;83.76
4389.1;82.32
4392.96;82.71
4396.82;83.59
4419.98;83.5
4443.15;83.67
4466.31;83.67
4489.47;83.32
4497.19;83.1
4520.36;83.63
4543.52;83.71
4566.68;83.63
4589.85;83.54
4597.57;81.96
4599.5;82.84
4620.73;83.23
4643.89;83.32
4667.06;83.32
4682.5;82.75
4694.08;81.98
4705.66;82.92
4728.83;83.09
4751.99;83.27
4775.15;83.01
4798.32;82.22
4795.74;81.21
4821.48;82.83
4844.64;82.83
4867.81;82.7
4889.43;82.69
4914.13;82.78
4937.3;82.74
4960.46;82.74
4983.62;82.87
4996.49;82.03
5014.51;82.69
5037.67;82.78
5060.83;82.73
5084;82.6
5107.16;82.47
5130.32;82.64
5153.49;82.82
5176.65;82.6
5194.02;82.06
5199.81;82.62
5222.98;82.55
5246.14;82.6
5269.3;82.51
5292.47;82.24
